id,text,text_preprocessed,label,label_name
536,And the Obama's know the lyrics. YESSSSSSSS #ThankYouObama,And the Obama's know the lyrics. YESSSSSSSS #ThankYouObama,2,positive
779,"@user I blame both pro investor trade parties, Libs & Cons for agreements that have investor protections i.e. NAFTA, FIPA, CETA, TPP","@user I blame both pro investor trade parties, Libs & Cons for agreements that have investor protections i.e. NAFTA, FIPA, CETA, TPP",0,negative
830,The trolls and bots are out in force tonight. #ThanksPutin! @user  #KremlinTrolls @user #TrumpWon,The trolls and bots are out in force tonight. #ThanksPutin! @user  #KremlinTrolls @user #TrumpWon,1,neutral
935,"When it's a joke it's ok, but when you take that shit seriously you remind me of a David Blaine/Ms. Cleo wanna be","When it's a joke it's ok, but when you take that shit seriously you remind me of a David Blaine/Ms. Cleo wanna be",0,negative
1047,I want to talk shit poetically like Muhammad Ali did. That shit is lit.,I want to talk shit poetically like Muhammad Ali did. That shit is lit.,1,neutral
1087,#Saudi_Arabia seeks to control a port in #Yemen to avoid the potential constriction of its oil shipments by Iran along the Straight of Homuz,#Saudi_Arabia seeks to control a port in #Yemen to avoid the potential constriction of its oil shipments by Iran along the Straight of Homuz,1,neutral
1125,"Been""growing""for tens of years.Look around,see the areas blighted by mass immigration.Blighted for ALL .Oh btw I AM…","Been""growing""for tens of years.Look around,see the areas blighted by mass immigration.Blighted for ALL .Oh btw I AM…",0,negative
1148,@user I am one of your constituents. Too late coming to the table and we won't forget that.  @user,@user I am one of your constituents. Too late coming to the table and we won't forget that.  @user,0,negative
1193,@user @user maybe bc 2 big headed 2 snarky 2 childish 2 animated 2 sarcastic 2 many hand gestures 2 anti Trump  is that enough?,@user @user maybe bc 2 big headed 2 snarky 2 childish 2 animated 2 sarcastic 2 many hand gestures 2 anti Trump  is that enough?,1,neutral
1563,"RT @user In 2016, just nice:""DC restaurant apologizes after hosting alt-right dinner w/ ‘Sieg Heil salute’ @user","RT @user In 2016, just nice:""DC restaurant apologizes after hosting alt-right dinner w/ ‘Sieg Heil salute’ @user",0,negative
1592,Pray for our Pope Francis and his ministry to the whole world.,Pray for our Pope Francis and his ministry to the whole world.,1,neutral
1716,@user @user by the way we are buying your book for us and our grand kids,@user @user by the way we are buying your book for us and our grand kids,2,positive
1888,#Iraq #Nineveh #Military_operations continue south of #Mosul#Mosul_news #mosuloffensive #mosul_offensive #media…,#Iraq #Nineveh #Military_operations continue south of #Mosul#Mosul_news #mosuloffensive #mosul_offensive #media…,1,neutral
1971,Here’s how Trump’s billionaire Commerce-chief pick got rich @user #tcot #uniteblue #NotMyPresident #Resist @user,Here’s how Trump’s billionaire Commerce-chief pick got rich @user #tcot #uniteblue #NotMyPresident #Resist @user,1,neutral
2019,Just making changes. #idmb is now tweeting. #idrivemybiz #uber #lyft,Just making changes. #idmb is now tweeting. #idrivemybiz #uber #lyft,1,neutral
2228,"@user @user @user @user To get his legislation through Senate he will need every single vote - McCain,","@user @user @user @user To get his legislation through Senate he will need every single vote - McCain,",1,neutral
2322,"Even the #NYTimes is admitting ,via Krugman's nonsense, that Trump is why TPP is dead. #DemExit #NotMeUs #RealLeftNow #ThirdParty #Greens","Even the #NYTimes is admitting ,via Krugman's nonsense, that Trump is why TPP is dead. #DemExit #NotMeUs #RealLeftNow #ThirdParty #Greens",0,negative
